Variable,GCM,Scenario,YearRange,Station,Raw_Pbias,BiasCorrected_Pbias,Raw_RMSE,BiasCorrected_RMSE,Raw_R2,BiasCorrected_R2,Raw_KGE,BiasCorrected_KGE,Raw_NSE,BiasCorrected_NSE,Raw_NRMSE,BiasCorrected_NRMSE
pr,CanESM5,historical,1950-2014,IKV,-33.6,1.7,7.42994764133799,4.29015479193495,1.06575914393207e-05,0.670747081631363,-0.224371877511089,0.549845423030346,-0.147406498763339,0.617446902300005,0.0803619845260231,0.0464021241664679
pr,CanESM5,historical,1950-2014,OOA,-42.8,-0.1,7.24862060285656,4.08994093087288,1.00860796432844e-05,0.672487792633652,-0.229009327087125,0.539810131227823,-0.215132521053757,0.613146101801044,0.112353844051965,0.063394211216952
pr,CanESM5,historical,1950-2014,PEA,-17.3,-0.4,6.78883709545987,3.78237497661894,6.71536345240102e-05,0.676820847091735,-0.155809295516361,0.574871142507665,-0.181932565826661,0.633114044373222,0.0531365906565322,0.0296048510247095
pr,CanESM5,historical,1950-2014,MWM,79.5,-0.4,6.92253885403105,3.64482519653095,0.000764305517801199,0.646370574985513,-0.343357173545372,0.511040884919562,-0.504532673693015,0.582915328592534,0.0539684950029707,0.0284152584121849
pr,CanESM5,historical,1950-2014,OTG,10.1,-0.4,8.3661788742681,4.71556824055834,0.000365274572169383,0.652253007593999,-0.127647755666892,0.512666402106792,-0.299837795907487,0.587044801699424,0.0587124992930797,0.0330931003449853
pr,CanESM5,historical,1950-2014,DSM,-45.1,1.2,8.51082765763426,4.79992263732311,1.14150196263315e-06,0.696475694610444,-0.284721743384615,0.56320575252796,-0.13333173321302,0.63951937108632,0.0739673189900598,0.0417159673682285
pr,CanESM5,historical,1950-2014,SLB,57,2.2,7.75715523740492,3.65275989683644,7.58980170283953e-05,0.71357595133814,-0.178417163070703,0.587603655609905,-0.522558621945341,0.662393103401344,0.0574059797925294,0.027031850518297
pr,CanESM5,historical,1950-2014,CNC,-42.2,-0.2,8.04024303177925,4.48677530829902,0.000165520285598753,0.691382653698484,-0.247974738964499,0.547109808126292,-0.194746343274491,0.627945981471076,0.0731050811203583,0.0407955420732394
pr,CanESM5,historical,1950-2014,PRO,-8.2,0,6.02583109323223,3.59694339662674,0.000203195546497355,0.615388790170842,-0.110686148140017,0.502612959859168,-0.231425124455338,0.561225571480412,0.0968316100471192,0.0578007937751365
pr,CanESM5,historical,1950-2014,CIN,-12.4,0.4,6.96166965929429,3.97626493802923,0.000152058708429836,0.638257204261526,-0.140951903404402,0.536694482423462,-0.252250494199185,0.591478407730815,0.0985904613846696,0.0563114617632871
pr,CanESM5,historical,1950-2014,EBS,2.4,-0.8,7.8418366082168,4.11657233382142,0.000884648173812383,0.730067416821966,-0.0831246566964281,0.562211683667039,-0.238731010705977,0.658639761234894,0.087459978677888,0.0459121181082446
pr,CanESM5,historical,1950-2014,DVP,65.6,-0.4,6.17117705452164,3.27260171377103,0.000835623685033632,0.583646854141983,-0.24338241716991,0.481775754713197,-0.661019379663253,0.532883731438768,0.0923801241657682,0.0489895768655285
pr,CanESM5,historical,1950-2014,AXA,36.1,-0.5,7.24753324403586,3.55056983491389,1.47166718836631e-05,0.690853016243924,-0.0884345484384341,0.538420465372186,-0.571396496262251,0.622860981627607,0.108492758361065,0.0531506517007558
pr,CanESM5,historical,1950-2014,BNW,-25.2,0,7.78380998861362,4.46818172926313,3.04816291473374e-06,0.66468002940351,-0.181063216362983,0.537574971091508,-0.191260512062066,0.60745997012808,0.101138353844932,0.058056985645684
pr,CanESM5,historical,1950-2014,EST,21.9,0.7,7.68375149363231,4.11986719990145,0.000359140649756076,0.634329064433783,-0.1054973181876,0.538120782117458,-0.426818750050812,0.589806644590365,0.0656203690507824,0.0351842724640156
pr,CanESM5,ssp126,2015-2100,OXV,-77.9,-67,11.0743249840781,11.3383061614581,0.000397547599018044,0.00118060158344548,-0.458518983290999,-0.339806840335386,-0.421237982229771,-0.489802287935351,0.16329477401395,0.167187268298359
pr,CanESM5,ssp126,2015-2100,I75,-80.8,-70.1,11.8233912088499,11.8602086699415,9.90849791262837e-05,0.00276675333840648,-0.468681742808074,-0.394264669237721,-0.526156453207883,-0.535676004757667,0.18999503790535,0.190586673147058
pr,CanESM5,ssp126,2015-2100,CAV,-56.3,-72.2,11.5278858323831,11.1958710770411,0.00129121218326959,0.000257280866179919,-0.280529294583674,-0.386637051815078,-0.437188926195505,-0.355596086469763,0.144539418130086,0.140376536900561
pr,CanESM5,ssp126,2015-2100,OTM,-38.2,29.1,7.40827964447886,8.93432219678607,0.00102131255663532,0.000205260990338644,-0.204416576671384,-0.0749253872130857,-0.144134417453915,-0.664046797303063,0.0658384995332367,0.0794006700626195
pr,CanESM5,ssp126,2015-2100,IKV,-77.1,-73.7,11.0583082422887,11.0997778294063,9.47239817687285e-05,0.000393237831675032,-0.44135698296184,-0.382581628778832,-0.386973900815793,-0.397395943859735,0.143685302386745,0.144224134370291
pr,CanESM5,ssp126,2015-2100,OOA,-70.8,-56.5,8.78394176788051,8.73778109734054,1.26566814451464e-05,0.000190670341106646,-0.357162582250563,-0.262279632130793,-0.459431769039939,-0.444133094150462,0.182012883710744,0.181056384113977
pr,CanESM5,ssp126,2015-2100,PEA,-77.8,-75.4,15.8621837222928,16.0934009682645,1.53990616550486e-05,2.91731227222745e-07,-0.502228913176032,-0.445794468287891,-0.167037462127299,-0.201308388026688,0.0693883802375013,0.0703998292575
pr,CanESM5,ssp126,2015-2100,MWM,-53.6,-75.8,10.5152250805266,10.109030535241,0.00498475165263513,0.0053295439608774,-0.349012444590658,-0.414375575673296,-0.272539401579456,-0.176123989582028,0.119648913118731,0.115026973456385
pr,CanESM5,ssp126,2015-2100,OTG,22,6.5,7.97835319033028,8.32224528621498,0.000616925830565836,0.000104866654919195,-0.0882411797875853,-0.0504365662339195,-0.300308903021766,-0.414819522448353,0.0709048291918938,0.0739610501609906
pr,CanESM5,ssp126,2015-2100,DSM,-44.3,1.8,7.99812493786581,8.79727137827977,8.22192855514809e-05,2.92230616380326e-05,-0.272017278585581,-0.0825477683080547,-0.128620207829287,-0.365423687480226,0.0877122029463494,0.0964761189028992
pr,CanESM5,ssp126,2015-2100,SLB,-45.8,-73.3,10.280821043831,10.0438214530221,0.000154732862370301,0.00135414358456004,-0.194395098478605,-0.436344799487446,-0.415208273660604,-0.350711903809596,0.110589271587184,0.108039902037585
pr,CanESM5,ssp126,2015-2100,CNC,-79.5,-69.3,12.1869450406052,12.1469992467568,4.11579667954421e-06,0.000571250410781305,-0.467262773366205,-0.398007992191976,-0.368987388474037,-0.360027691783875,0.122086764847481,0.121686594605967
pr,CanESM5,ssp126,2015-2100,PRO,-73.7,-75.9,11.8252831033863,11.9157078749728,1.05476673526663e-06,0.000193649319653614,-0.427926461403572,-0.45285676699207,-0.321189305592845,-0.341472120126424,0.0969921514385363,0.0977338244338321
pr,CanESM5,ssp126,2015-2100,CIN,-71.5,-72.3,11.7958886920204,12.0697751940793,3.01330110159526e-05,0.000949314644111609,-0.414931441175556,-0.410634556866307,-0.332547081853175,-0.395145791375037,0.133067354330939,0.136157019990516
pr,CanESM5,ssp126,2015-2100,EBS,-58.3,-62.2,9.68978265301103,10.0845877189029,0.000409149125081251,0.00229887750935816,-0.275990617107342,-0.222111357699452,-0.319700547218369,-0.429432398490209,0.130646406172622,0.135969524847683
pr,CanESM5,ssp126,2015-2100,DVP,-70.4,-84.2,11.945506898843,12.1294589678072,1.86132672293108e-05,0.000171548025995442,-0.390258307649181,-0.514565041205711,-0.361031448004252,-0.403271977167478,0.170396937390776,0.173020925593507
pr,CanESM5,ssp126,2015-2100,AXA,-63.9,-77.2,13.1779988754638,12.8902671712488,0.00436600289913241,0.000827498706655988,-0.371690848051697,-0.414487905539515,-0.41892648845003,-0.357640551996012,0.162639138985805,0.159088035584242
